Z(7, 10; 2, 2): Max: 25; Mean: 23.8752; Variance: 0.546625; Size: 50000; Time: 1737.47 ms; Top5_Histogram_(relative_to_max): 95 1564 11828 27471 9034 ;
Z(7, 11; 2, 2): Max: 27; Mean: 25.5169; Variance: 0.498554; Size: 50000; Time: 1594.92 ms; Top5_Histogram_(relative_to_max): 251 3171 19166 25210 2183 ;
Z(7, 12; 2, 2): Max: 28; Mean: 27.0566; Variance: 0.529654; Size: 50000; Time: 1768.89 ms; Top5_Histogram_(relative_to_max): 53 1015 8463 26946 13515 ;
Z(7, 13; 2, 2): Max: 30; Mean: 28.547; Variance: 0.560271; Size: 50000; Time: 1740.3 ms; Top5_Histogram_(relative_to_max): 336 3523 17732 25202 3193 ;
Z(7, 14; 2, 2): Max: 31; Mean: 29.9873; Variance: 0.603678; Size: 50000; Time: 1817.8 ms; Top5_Histogram_(relative_to_max): 125 1451 10251 25251 12916 ;
Z(7, 15; 2, 2): Max: 33; Mean: 31.5703; Variance: 0.545461; Size: 50000; Time: 2147.12 ms; Top5_Histogram_(relative_to_max): 239 3303 17493 25555 3394 ;
Z(7, 16; 2, 2): Max: 34; Mean: 32.9233; Variance: 0.586743; Size: 50000; Time: 2102.84 ms; Top5_Histogram_(relative_to_max): 112 1622 11104 26266 10887 ;
Z(7, 17; 2, 2): Max: 36; Mean: 34.2363; Variance: 0.641163; Size: 50000; Time: 2286.3 ms; Top5_Histogram_(relative_to_max): 918 7068 22463 18123 1377 ;
Z(7, 18; 2, 2): Max: 37; Mean: 35.5082; Variance: 0.668932; Size: 50000; Time: 2265.84 ms; Top5_Histogram_(relative_to_max): 478 4513 18421 22179 4386 ;
Z(7, 19; 2, 2): Max: 39; Mean: 36.9513; Variance: 0.66483; Size: 50000; Time: 2706.09 ms; Top5_Histogram_(relative_to_max): 1802 11144 24677 11738 499 ;
Z(7, 20; 2, 2): Max: 40; Mean: 38.1723; Variance: 0.697466; Size: 50000; Time: 2684.5 ms; Top5_Histogram_(relative_to_max): 1110 8273 22861 15950 1716 ;
Z(7, 21; 2, 2): Max: 42; Mean: 39.3487; Variance: 0.743582; Size: 50000; Time: 2803.21 ms; Top5_Histogram_(relative_to_max): 6337 20586 18681 3422 54 ;
Z(7, 22; 2, 2): Max: 43; Mean: 40.5055; Variance: 0.77601; Size: 50000; Time: 2854.91 ms; Top5_Histogram_(relative_to_max): 5070 18156 20583 5338 170 ;
Z(7, 23; 2, 2): Max: 44; Mean: 41.6442; Variance: 0.798366; Size: 50000; Time: 2963.57 ms; Top5_Histogram_(relative_to_max): 3988 16234 21594 7224 424 ;
Z(7, 24; 2, 2): Max: 45; Mean: 42.7462; Variance: 0.815555; Size: 50000; Time: 3022.79 ms; Top5_Histogram_(relative_to_max): 3480 14562 22028 8845 653 ;
