Z(5, 32; 2, 2): Max: 42; Mean: 41.8732; Variance: 0.115244; Size: 5300; Time: 191.85 ms; Top5_Histogram_(relative_to_max): 0 0 12 648 4640 ;
Z(5, 33; 2, 2): Max: 43; Mean: 42.8857; Variance: 0.103908; Size: 5300; Time: 203.995 ms; Top5_Histogram_(relative_to_max): 0 0 7 592 4701 ;
Z(5, 34; 2, 2): Max: 44; Mean: 43.8957; Variance: 0.0949623; Size: 5300; Time: 214.359 ms; Top5_Histogram_(relative_to_max): 0 0 4 545 4751 ;
Z(5, 35; 2, 2): Max: 45; Mean: 44.9049; Variance: 0.0879382; Size: 5300; Time: 217.36 ms; Top5_Histogram_(relative_to_max): 0 0 5 494 4801 ;
Z(5, 36; 2, 2): Max: 46; Mean: 45.9117; Variance: 0.0820141; Size: 5300; Time: 223.049 ms; Top5_Histogram_(relative_to_max): 0 0 4 460 4836 ;
Z(5, 37; 2, 2): Max: 47; Mean: 46.9117; Variance: 0.0812594; Size: 5300; Time: 230.289 ms; Top5_Histogram_(relative_to_max): 0 0 2 464 4834 ;
Z(5, 38; 2, 2): Max: 48; Mean: 47.9257; Variance: 0.0707; Size: 5300; Time: 242.591 ms; Top5_Histogram_(relative_to_max): 0 0 5 384 4911 ;
Z(5, 39; 2, 2): Max: 49; Mean: 48.9291; Variance: 0.0681746; Size: 5300; Time: 251.445 ms; Top5_Histogram_(relative_to_max): 0 0 6 364 4930 ;
Z(5, 40; 2, 2): Max: 50; Mean: 49.9336; Variance: 0.0627588; Size: 5300; Time: 258.742 ms; Top5_Histogram_(relative_to_max): 0 0 2 348 4950 ;
Z(6, 6; 2, 2): Max: 16; Mean: 15.2838; Variance: 0.362869; Size: 5300; Time: 84.348 ms; Top5_Histogram_(relative_to_max): 0 2 417 2956 1925 ;
Z(6, 7; 2, 2): Max: 18; Mean: 16.98; Variance: 0.306392; Size: 5300; Time: 102.356 ms; Top5_Histogram_(relative_to_max): 0 20 806 3734 740 ;
Z(6, 8; 2, 2): Max: 19; Mean: 18.4228; Variance: 0.358384; Size: 5300; Time: 81.98 ms; Top5_Histogram_(relative_to_max): 1 12 261 2497 2529 ;
Z(6, 9; 2, 2): Max: 21; Mean: 19.8951; Variance: 0.433146; Size: 5300; Time: 97.4748 ms; Top5_Histogram_(relative_to_max): 16 120 999 3434 731 ;
Z(6, 10; 2, 2): Max: 22; Mean: 21.4542; Variance: 0.389785; Size: 5300; Time: 107.239 ms; Top5_Histogram_(relative_to_max): 2 22 298 2223 2755 ;
Z(6, 11; 2, 2): Max: 24; Mean: 22.9666; Variance: 0.423979; Size: 5300; Time: 113.734 ms; Top5_Histogram_(relative_to_max): 3 84 945 3323 945 ;
