Z(6, 17; 4, 4): Max: 75; Mean: 74.375; Variance: 0.234375; Size: 8; Time: 4.5465 ms; Top5_Histogram_(relative_to_max): 0 0 0 5 3 ; iter: [1,3,6,12];
Z(6, 18; 4, 4): Max: 78; Mean: 78; Variance: 0; Size: 8; Time: 5.3627 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(6, 19; 4, 4): Max: 82; Mean: 81.625; Variance: 0.234375; Size: 8; Time: 7.5128 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 5 ; iter: [1,3,6,12];
Z(6, 20; 4, 4): Max: 86; Mean: 85.5; Variance: 0.25; Size: 8; Time: 4.1942 ms; Top5_Histogram_(relative_to_max): 0 0 0 4 4 ; iter: [1,3,6,12];
Z(6, 21; 4, 4): Max: 90; Mean: 89.125; Variance: 0.109375; Size: 8; Time: 5.2008 ms; Top5_Histogram_(relative_to_max): 0 0 0 7 1 ; iter: [1,3,6,12];
Z(6, 22; 4, 4): Max: 93; Mean: 92.875; Variance: 0.109375; Size: 8; Time: 6.7947 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 7 ; iter: [1,3,6,12];
Z(6, 23; 4, 4): Max: 97; Mean: 96.875; Variance: 0.109375; Size: 8; Time: 8.4691 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 7 ; iter: [1,3,6,12];
Z(6, 24; 4, 4): Max: 101; Mean: 100.625; Variance: 0.234375; Size: 8; Time: 4.6461 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 5 ; iter: [1,3,6,12];
Z(6, 25; 4, 4): Max: 105; Mean: 104.375; Variance: 0.484375; Size: 8; Time: 6.4464 ms; Top5_Histogram_(relative_to_max): 0 0 1 3 4 ; iter: [1,3,6,12];
Z(6, 26; 4, 4): Max: 108; Mean: 107.875; Variance: 0.109375; Size: 8; Time: 7.6899 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 7 ; iter: [1,3,6,12];
Z(6, 27; 4, 4): Max: 112; Mean: 111.5; Variance: 0.5; Size: 8; Time: 14.0428 ms; Top5_Histogram_(relative_to_max): 0 0 1 2 5 ; iter: [1,3,6,12];
Z(6, 28; 4, 4): Max: 116; Mean: 115.5; Variance: 0.25; Size: 8; Time: 5.6715 ms; Top5_Histogram_(relative_to_max): 0 0 0 4 4 ; iter: [1,3,6,12];
Z(6, 29; 4, 4): Max: 120; Mean: 119; Variance: 0.25; Size: 8; Time: 7.7775 ms; Top5_Histogram_(relative_to_max): 0 0 1 6 1 ; iter: [1,3,6,12];
Z(6, 30; 4, 4): Max: 123; Mean: 122.625; Variance: 0.484375; Size: 8; Time: 10.6588 ms; Top5_Histogram_(relative_to_max): 0 0 1 1 6 ; iter: [1,3,6,12];
Z(7, 7; 4, 4): Max: 42; Mean: 42; Variance: 0; Size: 8; Time: 5.6747 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(7, 8; 4, 4): Max: 45; Mean: 44.5; Variance: 1; Size: 8; Time: 3.7673 ms; Top5_Histogram_(relative_to_max): 0 1 0 1 6 ; iter: [1,3,6,12];
Z(7, 9; 4, 4): Max: 49; Mean: 49; Variance: 0; Size: 8; Time: 4.7466 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(7, 10; 4, 4): Max: 54; Mean: 53.125; Variance: 0.109375; Size: 8; Time: 7.6861 ms; Top5_Histogram_(relative_to_max): 0 0 0 7 1 ; iter: [1,3,6,12];
Z(7, 11; 4, 4): Max: 58; Mean: 57.875; Variance: 0.109375; Size: 8; Time: 6.7282 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 7 ; iter: [1,3,6,12];
Z(7, 12; 4, 4): Max: 63; Mean: 62; Variance: 0.75; Size: 8; Time: 4.107 ms; Top5_Histogram_(relative_to_max): 0 0 3 2 3 ; iter: [1,3,6,12];
