Z(6, 18; 6, 6): Max: 95; Mean: 95; Variance: 0; Size: 4; Time: 8.4202 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 19; 6, 6): Max: 100; Mean: 100; Variance: 0; Size: 4; Time: 10.5927 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 20; 6, 6): Max: 105; Mean: 105; Variance: 0; Size: 4; Time: 8.6689 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 21; 6, 6): Max: 110; Mean: 110; Variance: 0; Size: 4; Time: 12.1354 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 22; 6, 6): Max: 115; Mean: 115; Variance: 0; Size: 4; Time: 10.0078 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 23; 6, 6): Max: 120; Mean: 120; Variance: 0; Size: 4; Time: 15.7913 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 24; 6, 6): Max: 125; Mean: 125; Variance: 0; Size: 4; Time: 11.3854 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 25; 6, 6): Max: 130; Mean: 130; Variance: 0; Size: 4; Time: 35.8929 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 26; 6, 6): Max: 135; Mean: 135; Variance: 0; Size: 4; Time: 25.537 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 27; 6, 6): Max: 140; Mean: 140; Variance: 0; Size: 4; Time: 28.3811 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 28; 6, 6): Max: 145; Mean: 145; Variance: 0; Size: 4; Time: 29.6397 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 29; 6, 6): Max: 150; Mean: 150; Variance: 0; Size: 4; Time: 49.7621 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 30; 6, 6): Max: 155; Mean: 155; Variance: 0; Size: 4; Time: 30.8132 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(7, 7; 6, 6): Max: 46; Mean: 46; Variance: 0; Size: 4; Time: 5.6318 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(7, 8; 6, 6): Max: 52; Mean: 51.5; Variance: 0.25; Size: 4; Time: 4.8918 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 2 ; iter: [1,3];
Z(7, 9; 6, 6): Max: 58; Mean: 57.5; Variance: 0.25; Size: 4; Time: 5.2284 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 2 ; iter: [1,3];
Z(7, 10; 6, 6): Max: 63; Mean: 62.75; Variance: 0.1875; Size: 4; Time: 5.0252 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 3 ; iter: [1,3];
Z(7, 11; 6, 6): Max: 70; Mean: 68.75; Variance: 0.6875; Size: 4; Time: 6.411 ms; Top5_Histogram_(relative_to_max): 0 0 2 1 1 ; iter: [1,3];
Z(7, 12; 6, 6): Max: 74; Mean: 73.5; Variance: 0.25; Size: 4; Time: 5.758 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 2 ; iter: [1,3];
Z(7, 13; 6, 6): Max: 80; Mean: 80; Variance: 0; Size: 4; Time: 8.2485 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(7, 14; 6, 6): Max: 87; Mean: 85.25; Variance: 1.1875; Size: 4; Time: 7.7043 ms; Top5_Histogram_(relative_to_max): 0 1 2 0 1 ; iter: [1,3];
Z(7, 15; 6, 6): Max: 92; Mean: 91.25; Variance: 0.6875; Size: 4; Time: 10.5283 ms; Top5_Histogram_(relative_to_max): 0 0 1 1 2 ; iter: [1,3];
Z(7, 16; 6, 6): Max: 98; Mean: 96.75; Variance: 0.6875; Size: 4; Time: 8.8794 ms; Top5_Histogram_(relative_to_max): 0 0 2 1 1 ; iter: [1,3];
Z(7, 17; 6, 6): Max: 104; Mean: 103.25; Variance: 0.1875; Size: 4; Time: 13.2314 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 1 ; iter: [1,3];
Z(7, 18; 6, 6): Max: 109; Mean: 107.75; Variance: 0.6875; Size: 4; Time: 10.8122 ms; Top5_Histogram_(relative_to_max): 0 0 2 1 1 ; iter: [1,3];
Z(7, 19; 6, 6): Max: 116; Mean: 115; Variance: 0.5; Size: 4; Time: 19.8661 ms; Top5_Histogram_(relative_to_max): 0 0 1 2 1 ; iter: [1,3];
Z(7, 20; 6, 6): Max: 121; Mean: 119; Variance: 2.5; Size: 4; Time: 14.0269 ms; Top5_Histogram_(relative_to_max): 1 1 0 1 1 ; iter: [1,3];
Z(7, 21; 6, 6): Max: 127; Mean: 126.25; Variance: 0.1875; Size: 4; Time: 22.3296 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 1 ; iter: [1,3];
Z(7, 22; 6, 6): Max: 132; Mean: 129; Variance: 4.5; Size: 4; Time: 15.5197 ms; Top5_Histogram_(relative_to_max): 0 2 0 0 1 ; iter: [1,3];
Z(7, 23; 6, 6): Max: 139; Mean: 138; Variance: 0.5; Size: 4; Time: 37.0029 ms; Top5_Histogram_(relative_to_max): 0 0 1 2 1 ; iter: [1,3];
Z(7, 24; 6, 6): Max: 141; Mean: 139.75; Variance: 2.6875; Size: 4; Time: 20.8757 ms; Top5_Histogram_(relative_to_max): 1 0 0 1 2 ; iter: [1,3];
